Passenger_ID,Date,vehicle_Type,Route,Departure_Time,Passenger_Count,Ticket_Price,Total_revenue,Day,Payment_Method
P100085,10/21/2025,Bus,Galle - Matara,18:00,40,190,7600,Tuesday,Cash
P103822,4/5/2025,Bus,Colombo - Galle,7:30,50,380,19000,Saturday,Cash
P102654,1/22/2025,Bus,Colombo - Ratnapura,21:00,53,310,16430,Wednesday,Card
P105546,5/22/2025,Bus,Kandy - Nuwara Eliya,6:30,80,280,22400,Thursday,Cash
P102747,6/12/2025,Train,Colombo - Kandy,20:00,149,340,50660,Thursday,Cash
P102859,7/5/2025,Bus,Colombo - Negombo,19:00,53,230,12190,Saturday,Card
P100997,9/7/2025,Other,Kandy - Colombo,13:00,31,550,17050,Sunday,Mobile Payment
P100229,7/3/2025,Train,Colombo - Kandy,10:00,60,310,18600,Thursday,Cash
P103265,7/18/2025,Train,Galle - Matara,6:30,162,140,22680,Friday,Card
P104829,2/28/2025,Bus,Colombo - Negombo,20:00,55,270,14850,Friday,Card
P103943,12/30/2025,Bus,Colombo - Galle,7:00,62,410,25420,Tuesday,Cash
P105460,10/7/2025,Other,Colombo - Galle,13:00,45,520,23400,Tuesday,Mobile Payment
P103833,9/3/2025,Train,Galle - Matara,20:00,104,140,14560,Wednesday,Card
P101653,6/26/2025,Bus,Colombo - Kalutara,20:00,29,180,5220,Thursday,Mobile Payment
P100080,4/19/2025,Bus,Colombo - Ratnapura,6:30,53,280,14840,Saturday,Cash
P100965,8/10/2025,Bus,Colombo - Kandy,8:00,59,430,25370,Sunday,Cash
P100927,5/17/2025,Bus,Kurunegala - Dambulla,7:30,38,230,8740,Saturday,Cash
P100795,2/18/2025,Bus,Colombo - Ratnapura,21:00,55,290,15950,Tuesday,Card
P103380,8/9/2025,Train,Kurunegala - Dambulla,15:00,121,190,22990,Saturday,Mobile Payment
P103165,8/19/2025,Bus,Colombo - Negombo,16:00,40,250,10000,Tuesday,Card
P104658,4/26/2025,Bus,Colombo - Kalutara,20:00,34,190,6460,Saturday,Mobile Payment
P103312,3/9/2025,Train,Colombo - Galle,6:30,243,320,77760,Sunday,Mobile Payment
P103935,12/31/2025,Bus,Colombo - Kurunegala,11:00,43,340,14620,Wednesday,Mobile Payment
P101075,5/27/2025,Other,Galle - Matara,16:00,15,250,3750,Tuesday,Cash
P104841,12/22/2025,Other,Colombo - Kurunegala,17:00,20,430,8600,Monday,Cash
P104184,6/14/2025,Bus,Colombo - Galle,8:30,59,360,21240,Saturday,Mobile Payment
P102025,11/12/2025,Bus,Colombo - Kandy,18:30,73,430,31390,Wednesday,Cash
P105678,9/22/2025,Bus,Galle - Matara,8:30,117,190,22230,Monday,Cash
P104635,1/23/2025,Bus,Kandy - Colombo,18:00,68,470,31960,Thursday,Card
P101746,3/8/2025,Bus,Kandy - Nuwara Eliya,13:00,47,280,13160,Saturday,Cash
P103144,7/11/2025,Bus,Kandy - Nuwara Eliya,12:00,53,290,15370,Friday,Cash
P103264,11/3/2025,Bus,Colombo - Kurunegala,6:30,22,370,8140,Monday,Mobile Payment
P103122,9/7/2025,Bus,Colombo - Ratnapura,17:00,58,280,16240,Sunday,Cash
P101452,3/31/2025,Train,Colombo - Kurunegala,15:00,102,270,27540,Monday,Cash
P100440,7/9/2025,Bus,Colombo - Kalutara,6:30,41,160,6560,Wednesday,Cash
P103317,5/21/2025,Bus,Colombo - Kalutara,11:00,35,160,5600,Wednesday,Mobile Payment
P104544,1/31/2025,Bus,Colombo - Kurunegala,16:00,18,350,6300,Friday,Cash
P102982,6/29/2025,Bus,Colombo - Kurunegala,18:00,37,320,11840,Sunday,Cash
P102081,6/1/2025,Bus,Colombo - Kurunegala,8:00,59,340,20060,Sunday,Cash
P104021,7/31/2025,Bus,Colombo - Kurunegala,17:30,57,360,20520,Thursday,Cash
P101455,6/16/2025,Bus,Colombo - Kurunegala,14:00,52,380,19760,Monday,Cash
P100255,12/3/2025,Bus,Colombo - Kurunegala,17:00,50,340,17000,Wednesday,Cash
P100466,4/15/2025,Bus,Colombo - Ratnapura,6:30,62,320,19840,Tuesday,Card
P102118,3/25/2025,Train,Kandy - Colombo,14:00,49,320,15680,Tuesday,Cash
P100507,4/28/2025,Other,Kandy - Colombo,17:30,37,500,18500,Monday,Card
P104272,9/23/2025,Other,Kandy - Colombo,17:30,20,580,11600,Tuesday,Cash
P104289,9/12/2025,Bus,Kurunegala - Dambulla,18:00,66,260,17160,Friday,Cash
P104214,12/18/2025,Bus,Colombo - Ratnapura,9:00,28,280,7840,Thursday,Card
P100234,3/10/2025,Bus,Colombo - Galle,14:00,40,370,14800,Monday,Cash
P100554,12/31/2025,Train,Galle - Matara,17:00,116,140,16240,Wednesday,Cash
P105315,12/7/2025,Bus,Galle - Matara,18:30,56,220,12320,Sunday,Cash
P100545,4/1/2025,Train,Colombo - Negombo,16:00,131,190,24890,Tuesday,Cash
P103701,12/1/2025,Train,Colombo - Kandy,19:00,184,330,60720,Monday,Cash
P103541,8/6/2025,Bus,Colombo - Kandy,6:30,37,450,16650,Wednesday,Card
P102789,8/1/2025,Other,Colombo - Negombo,17:00,27,320,8640,Friday,Mobile Payment
P102865,5/31/2025,Bus,Kurunegala - Dambulla,21:00,31,240,7440,Saturday,Cash
P102084,2/20/2025,Other,Kandy - Colombo,7:30,21,540,11340,Thursday,Cash
P105543,9/7/2025,Train,Colombo - Ratnapura,19:00,135,220,29700,Sunday,Card
P100309,1/12/2025,Train,Colombo - Galle,7:00,72,280,20160,Sunday,Card
P100711,3/22/2025,Train,Kandy - Nuwara Eliya,7:00,146,210,30660,Saturday,Cash
P104104,2/15/2025,Bus,Kandy - Nuwara Eliya,10:00,42,310,13020,Saturday,Card
P101581,2/17/2025,Bus,Kandy - Colombo,8:00,43,470,20210,Monday,Card
P101311,9/19/2025,Bus,Colombo - Kalutara,8:00,63,170,10710,Friday,Card
P100626,2/5/2025,Bus,Colombo - Kurunegala,17:30,45,330,14850,Wednesday,Card
P100024,5/14/2025,Bus,Kurunegala - Dambulla,12:00,55,240,13200,Wednesday,Mobile Payment
P102532,1/7/2025,Train,Colombo - Ratnapura,8:00,82,210,17220,Tuesday,Card
P101871,2/25/2025,Train,Colombo - Kandy,15:00,185,340,62900,Tuesday,Cash
P105111,2/17/2025,Other,Kurunegala - Dambulla,9:00,24,310,7440,Monday,Mobile Payment
P103489,11/6/2025,Bus,Colombo - Kalutara,18:00,57,170,9690,Thursday,Cash
P101171,5/16/2025,Train,Kandy - Colombo,20:00,125,360,45000,Friday,Cash
P104746,7/28/2025,Bus,Colombo - Ratnapura,15:00,47,300,14100,Monday,Cash
P102119,7/11/2025,Bus,Colombo - Negombo,14:00,33,270,8910,Friday,Card
P103019,8/11/2025,Bus,Kandy - Colombo,10:00,47,490,23030,Monday,Card
P101195,4/24/2025,Bus,Colombo - Kandy,18:00,52,470,24440,Thursday,Cash
P102246,7/11/2025,Bus,Colombo - Kalutara,8:00,69,190,13110,Friday,Card
P102874,11/19/2025,Bus,Kandy - Nuwara Eliya,7:00,42,270,11340,Wednesday,Cash
P105640,3/24/2025,Bus,Colombo - Negombo,10:00,36,270,9720,Monday,Cash
P102550,10/5/2025,Bus,Kurunegala - Dambulla,8:00,39,270,10530,Sunday,Mobile Payment
P103155,3/27/2025,Bus,Colombo - Kandy,18:00,65,410,26650,Thursday,Mobile Payment
P100094,5/21/2025,Train,Kandy - Colombo,12:00,92,320,29440,Wednesday,Mobile Payment
P102078,1/14/2025,Bus,Colombo - Ratnapura,8:00,59,290,17110,Tuesday,Cash
P100470,10/26/2025,Other,Kandy - Colombo,19:00,12,550,6600,Sunday,Mobile Payment
P100788,2/19/2025,Bus,Colombo - Galle,8:00,57,440,25080,Wednesday,Cash
P101700,12/12/2025,Bus,Colombo - Kandy,15:00,37,460,17020,Friday,Card
P101838,12/7/2025,Bus,Colombo - Kandy,10:00,19,410,7790,Sunday,Cash
P103064,5/26/2025,Train,Colombo - Kurunegala,13:00,121,260,31460,Monday,Cash
P101707,4/5/2025,Train,Colombo - Ratnapura,10:00,140,210,29400,Saturday,Card
P103968,9/9/2025,Bus,Colombo - Galle,11:00,65,400,26000,Tuesday,Card
P103863,3/1/2025,Bus,Galle - Matara,11:00,42,190,7980,Saturday,Cash
P103665,6/26/2025,Train,Kandy - Nuwara Eliya,11:00,99,240,23760,Thursday,Cash
P105892,11/5/2025,Train,Colombo - Ratnapura,7:00,222,200,44400,Wednesday,Cash
P103205,9/28/2025,Train,Colombo - Ratnapura,19:00,213,240,51120,Sunday,Cash
P100605,2/15/2025,Bus,Kandy - Colombo,16:00,20,460,9200,Saturday,Card
P104943,5/1/2025,Train,Colombo - Kurunegala,17:30,105,290,30450,Thursday,Cash
P101551,5/21/2025,Other,Kurunegala - Dambulla,7:00,17,320,5440,Wednesday,Mobile Payment
P104709,11/26/2025,Train,Colombo - Ratnapura,20:00,64,240,15360,Wednesday,Cash
P104835,6/20/2025,Bus,Colombo - Ratnapura,18:30,58,320,18560,Friday,Card
P103186,6/23/2025,Bus,Kandy - Nuwara Eliya,8:30,29,310,8990,Monday,Card
P104387,2/7/2025,Other,Kandy - Colombo,18:00,35,490,17150,Friday,Card
P101587,12/24/2025,Train,Colombo - Kandy,12:00,173,330,57090,Wednesday,Mobile Payment
P103120,4/26/2025,Bus,Colombo - Kalutara,17:30,60,190,11400,Saturday,Cash
P103400,8/14/2025,Train,Kurunegala - Dambulla,18:00,20,200,4000,Thursday,Cash
P100402,1/6/2025,Other,Colombo - Kandy,15:00,28,540,15120,Monday,Card
P100032,8/29/2025,Bus,Colombo - Ratnapura,9:00,51,270,13770,Friday,Mobile Payment
P101484,5/14/2025,Bus,Colombo - Ratnapura,15:00,41,330,13530,Wednesday,Cash
P102681,1/18/2025,Bus,Colombo - Kurunegala,7:00,30,350,10500,Saturday,Mobile Payment
P100600,9/10/2025,Bus,Colombo - Galle,18:30,73,400,29200,Wednesday,Mobile Payment
P103150,12/25/2025,Bus,Kandy - Colombo,12:00,29,480,13920,Thursday,Mobile Payment
P105545,3/15/2025,Train,Kandy - Nuwara Eliya,7:00,132,240,31680,Saturday,Mobile Payment
P101861,7/9/2025,Train,Colombo - Negombo,20:00,83,190,15770,Wednesday,Cash
P100566,12/9/2025,Train,Colombo - Kurunegala,7:30,245,240,58800,Tuesday,Cash
P102214,8/21/2025,Other,Colombo - Kurunegala,16:00,18,410,7380,Thursday,Cash
P101967,8/29/2025,Bus,Colombo - Negombo,17:00,70,240,16800,Friday,Cash
P100866,2/28/2025,Train,Colombo - Kalutara,13:00,137,140,19180,Friday,Cash
P104608,8/22/2025,Bus,Colombo - Ratnapura,8:00,54,280,15120,Friday,Mobile Payment
P102451,12/26/2025,Bus,Colombo - Kurunegala,15:00,37,380,14060,Friday,Cash
P105693,1/31/2025,Train,Galle - Matara,16:00,108,160,17280,Friday,Cash
P100813,8/4/2025,Bus,Colombo - Galle,18:00,42,360,15120,Monday,Cash
P101478,6/25/2025,Train,Galle - Matara,9:00,124,140,17360,Wednesday,Cash
P104735,10/26/2025,Bus,Colombo - Negombo,18:30,68,240,16320,Sunday,Cash
P102272,12/5/2025,Bus,Colombo - Kalutara,6:30,57,180,10260,Friday,Card
P101039,8/4/2025,Bus,Colombo - Kalutara,17:00,77,180,13860,Monday,Cash
P104527,3/10/2025,Train,Kandy - Colombo,14:00,120,310,37200,Monday,Cash
P100081,2/13/2025,Train,Colombo - Kandy,6:30,61,350,21350,Thursday,Cash
P101205,8/11/2025,Bus,Kandy - Colombo,16:00,18,490,8820,Monday,Mobile Payment
P103286,11/23/2025,Bus,Kandy - Colombo,21:00,41,420,17220,Sunday,Card
P101546,11/7/2025,Bus,Kandy - Nuwara Eliya,17:00,44,320,14080,Friday,Cash
P100178,5/10/2025,Bus,Colombo - Galle,15:00,64,370,23680,Saturday,Cash
P102586,10/8/2025,Train,Colombo - Ratnapura,17:00,209,220,45980,Wednesday,Card
P105993,7/30/2025,Bus,Colombo - Kurunegala,14:00,32,320,10240,Wednesday,Card
P104864,12/24/2025,Bus,Kandy - Colombo,21:00,35,420,14700,Wednesday,Card
P101439,4/10/2025,Bus,Colombo - Galle,7:30,43,390,16770,Thursday,Card
P100297,4/7/2025,Train,Kurunegala - Dambulla,18:00,169,190,32110,Monday,Cash
P103616,6/17/2025,Bus,Colombo - Kandy,7:00,35,490,17150,Tuesday,Card
P103648,12/23/2025,Bus,Colombo - Kalutara,8:30,64,190,12160,Tuesday,Cash
P100158,7/14/2025,Train,Colombo - Kandy,7:00,173,310,53630,Monday,Card
P101028,1/20/2025,Train,Colombo - Galle,18:00,190,290,55100,Monday,Cash
P100411,12/19/2025,Bus,Kandy - Colombo,9:00,53,410,21730,Friday,Cash
P103959,5/24/2025,Bus,Colombo - Kurunegala,19:00,22,360,7920,Saturday,Cash
P105938,7/12/2025,Bus,Colombo - Galle,7:00,72,380,27360,Saturday,Mobile Payment
P104957,10/22/2025,Bus,Kurunegala - Dambulla,11:00,48,230,11040,Wednesday,Card
P104757,3/21/2025,Bus,Colombo - Kandy,18:30,60,490,29400,Friday,Cash
P105448,3/26/2025,Train,Kandy - Nuwara Eliya,15:00,141,240,33840,Wednesday,Cash
P102182,6/9/2025,Bus,Kandy - Colombo,16:00,61,450,27450,Monday,Mobile Payment
P105809,4/30/2025,Train,Colombo - Ratnapura,9:00,152,200,30400,Wednesday,Card
P100811,2/22/2025,Other,Galle - Matara,13:00,17,240,4080,Saturday,Cash
P104916,10/8/2025,Other,Colombo - Kalutara,13:00,24,230,5520,Wednesday,Card
P104954,9/5/2025,Train,Colombo - Galle,20:00,134,300,40200,Friday,Mobile Payment
P103734,3/7/2025,Bus,Colombo - Kurunegala,14:00,54,320,17280,Friday,Mobile Payment
P105164,12/9/2025,Bus,Colombo - Kandy,18:00,91,440,40040,Tuesday,Card
P102978,5/1/2025,Bus,Colombo - Kalutara,10:00,58,190,11020,Thursday,Card
P103796,1/17/2025,Train,Galle - Matara,17:30,135,160,21600,Friday,Cash
P102169,8/19/2025,Train,Kurunegala - Dambulla,19:00,177,180,31860,Tuesday,Cash
P103078,6/22/2025,Bus,Colombo - Ratnapura,20:00,45,280,12600,Sunday,Card
P101695,1/22/2025,Bus,Colombo - Galle,7:00,43,370,15910,Wednesday,Cash
P101025,7/28/2025,Other,Colombo - Kandy,19:00,58,520,30160,Monday,Cash
P103947,9/20/2025,Train,Kandy - Nuwara Eliya,9:00,126,230,28980,Saturday,Cash
P102125,5/16/2025,Other,Colombo - Kalutara,7:00,27,200,5400,Friday,Mobile Payment
P105295,11/19/2025,Train,Colombo - Kandy,20:00,141,360,50760,Wednesday,Cash
P102705,1/25/2025,Train,Colombo - Kandy,7:30,159,330,52470,Saturday,Cash
P101034,9/3/2025,Bus,Kandy - Colombo,18:00,72,450,32400,Wednesday,Card
P105872,1/8/2025,Bus,Colombo - Galle,14:00,30,440,13200,Wednesday,Cash
P105365,12/26/2025,Bus,Colombo - Kalutara,14:00,49,170,8330,Friday,Card
P104160,8/26/2025,Train,Kandy - Colombo,16:00,104,370,38480,Tuesday,Cash
P101701,7/14/2025,Other,Colombo - Kalutara,21:00,18,230,4140,Monday,Mobile Payment
P102914,1/26/2025,Other,Colombo - Galle,15:00,8,480,3840,Sunday,Card
P104879,6/12/2025,Bus,Colombo - Kandy,10:00,48,430,20640,Thursday,Mobile Payment
P103321,6/4/2025,Bus,Colombo - Kalutara,13:00,23,180,4140,Wednesday,Card
P105027,12/30/2025,Bus,Colombo - Kandy,14:00,54,450,24300,Tuesday,Card
P102583,10/20/2025,Bus,Kandy - Colombo,16:00,40,440,17600,Monday,Mobile Payment
P105284,5/19/2025,Train,Colombo - Galle,11:00,66,300,19800,Monday,Card
P104251,10/10/2025,Bus,Colombo - Galle,12:00,29,400,11600,Friday,Cash
P101187,8/26/2025,Train,Kurunegala - Dambulla,19:00,60,170,10200,Tuesday,Cash
P103738,8/7/2025,Train,Colombo - Kurunegala,20:00,112,260,29120,Thursday,Card
P100784,4/27/2025,Bus,Colombo - Negombo,10:00,50,260,13000,Sunday,Mobile Payment
P104403,1/5/2025,Bus,Kurunegala - Dambulla,7:00,57,270,15390,Sunday,Card
P100051,7/11/2025,Other,Colombo - Negombo,21:00,24,280,6720,Friday,Cash
P100713,11/18/2025,Bus,Colombo - Ratnapura,17:00,66,280,18480,Tuesday,Card
P102307,9/23/2025,Bus,Colombo - Kalutara,18:00,39,180,7020,Tuesday,Mobile Payment
P103868,1/19/2025,Train,Colombo - Negombo,11:00,108,200,21600,Sunday,Mobile Payment
P102447,8/16/2025,Bus,Kandy - Colombo,10:00,30,490,14700,Saturday,Cash
P102241,8/6/2025,Train,Colombo - Kurunegala,17:30,154,240,36960,Wednesday,Cash
P104604,4/23/2025,Bus,Colombo - Kurunegala,11:00,35,320,11200,Wednesday,Mobile Payment
P104791,5/26/2025,Bus,Galle - Matara,18:30,48,210,10080,Monday,Cash
P103104,1/14/2025,Bus,Colombo - Kurunegala,11:00,53,330,17490,Tuesday,Mobile Payment
P105567,10/29/2025,Train,Colombo - Kandy,17:00,133,340,45220,Wednesday,Card
P100677,5/15/2025,Bus,Colombo - Kandy,8:00,52,460,23920,Thursday,Cash
P105557,10/27/2025,Bus,Colombo - Kalutara,15:00,29,160,4640,Monday,Cash
P103640,9/11/2025,Bus,Kurunegala - Dambulla,16:00,34,240,8160,Thursday,Cash
P102695,7/26/2025,Other,Colombo - Galle,21:00,14,500,7000,Saturday,Cash
P102996,5/14/2025,Train,Colombo - Kalutara,18:30,186,140,26040,Wednesday,Cash
P101563,10/22/2025,Train,Colombo - Ratnapura,20:00,80,240,19200,Wednesday,Cash
P103650,11/2/2025,Other,Colombo - Galle,10:00,27,490,13230,Sunday,Cash
P102466,7/16/2025,Bus,Colombo - Negombo,17:30,87,270,23490,Wednesday,Cash
P100347,3/12/2025,Train,Galle - Matara,6:30,156,150,23400,Wednesday,Mobile Payment
P101497,11/14/2025,Train,Colombo - Ratnapura,17:30,63,210,13230,Friday,Cash
P102345,5/13/2025,Other,Kandy - Colombo,10:00,23,550,12650,Tuesday,Card
P103906,8/2/2025,Bus,Kandy - Nuwara Eliya,11:00,34,300,10200,Saturday,Mobile Payment
P103659,6/25/2025,Train,Colombo - Galle,12:00,86,290,24940,Wednesday,Cash
P100623,10/2/2025,Bus,Kandy - Colombo,15:00,49,420,20580,Thursday,Cash
P104097,2/22/2025,Bus,Kurunegala - Dambulla,7:00,36,240,8640,Saturday,Mobile Payment
P101401,12/22/2025,Bus,Colombo - Kalutara,20:00,41,180,7380,Monday,Mobile Payment
P103298,6/1/2025,Bus,Colombo - Galle,10:00,54,420,22680,Sunday,Mobile Payment
P103986,11/14/2025,Other,Galle - Matara,12:00,10,240,2400,Friday,Card
P105182,8/30/2025,Train,Galle - Matara,9:00,99,160,15840,Saturday,Card
P104618,11/21/2025,Train,Kandy - Colombo,7:30,100,330,33000,Friday,Cash
P100325,10/22/2025,Other,Kandy - Colombo,20:00,17,570,9690,Wednesday,Card
P102998,10/30/2025,Bus,Galle - Matara,7:00,63,210,13230,Thursday,Card
P100038,9/20/2025,Bus,Colombo - Galle,14:00,50,390,19500,Saturday,Cash
P105375,10/1/2025,Bus,Colombo - Kandy,6:30,55,410,22550,Wednesday,Card
P104185,5/6/2025,Bus,Colombo - Kalutara,8:00,42,180,7560,Tuesday,Mobile Payment
P100531,9/18/2025,Train,Galle - Matara,21:00,116,160,18560,Thursday,Mobile Payment
P102643,9/7/2025,Train,Galle - Matara,19:00,135,160,21600,Sunday,Mobile Payment
P103681,9/8/2025,Train,Colombo - Ratnapura,13:00,108,240,25920,Monday,Card
P102349,7/17/2025,Train,Galle - Matara,13:00,96,140,13440,Thursday,Cash
P102785,8/22/2025,Train,Colombo - Kalutara,6:30,172,140,24080,Friday,Card
P105493,4/29/2025,Train,Colombo - Kalutara,10:00,77,130,10010,Tuesday,Cash
P102226,2/8/2025,Bus,Colombo - Ratnapura,19:00,65,300,19500,Saturday,Card
P101074,4/15/2025,Bus,Colombo - Negombo,18:30,47,240,11280,Tuesday,Cash
P101198,12/5/2025,Other,Galle - Matara,13:00,31,250,7750,Friday,Card
P105139,8/26/2025,Train,Kurunegala - Dambulla,21:00,90,180,16200,Tuesday,Cash
P100264,3/8/2025,Bus,Kandy - Nuwara Eliya,12:00,28,300,8400,Saturday,Card
P101730,5/14/2025,Train,Galle - Matara,8:30,172,160,27520,Wednesday,Card
P105329,9/11/2025,Bus,Colombo - Negombo,17:00,35,260,9100,Thursday,Card
P100908,11/26/2025,Bus,Kandy - Nuwara Eliya,8:00,48,320,15360,Wednesday,Cash
P101336,10/31/2025,Train,Kandy - Colombo,11:00,93,350,32550,Friday,Cash
P101394,11/16/2025,Bus,Kandy - Colombo,18:30,51,430,21930,Sunday,Card
P100961,12/17/2025,Bus,Colombo - Kalutara,20:00,49,190,9310,Wednesday,Card
P100240,9/22/2025,Bus,Colombo - Galle,8:00,70,370,25900,Monday,Card
P100200,8/31/2025,Train,Colombo - Negombo,16:00,167,180,30060,Sunday,Card
P102418,12/2/2025,Bus,Colombo - Ratnapura,18:00,70,320,22400,Tuesday,Cash
P105470,12/12/2025,Bus,Colombo - Kandy,12:00,67,410,27470,Friday,Card
P104311,8/25/2025,Bus,Kurunegala - Dambulla,18:00,57,230,13110,Monday,Cash
P104715,5/27/2025,Bus,Colombo - Ratnapura,19:00,58,270,15660,Tuesday,Card
P105791,3/12/2025,Bus,Kurunegala - Dambulla,18:30,72,260,18720,Wednesday,Card
P100326,2/10/2025,Train,Colombo - Kurunegala,9:00,141,250,35250,Monday,Mobile Payment
P102678,5/16/2025,Bus,Galle - Matara,6:30,54,200,10800,Friday,Mobile Payment
P105824,6/29/2025,Train,Colombo - Kalutara,18:00,209,140,29260,Sunday,Card
P104419,8/3/2025,Bus,Galle - Matara,7:00,70,210,14700,Sunday,Card
P100102,2/2/2025,Train,Kurunegala - Dambulla,8:00,128,170,21760,Sunday,Cash
P101738,6/8/2025,Bus,Colombo - Kalutara,21:00,52,190,9880,Sunday,Card
P105262,12/20/2025,Train,Colombo - Galle,15:00,89,290,25810,Saturday,Cash
P100878,11/12/2025,Train,Kandy - Colombo,7:30,105,370,38850,Wednesday,Card
P105893,3/24/2025,Bus,Colombo - Kurunegala,20:00,37,350,12950,Monday,Mobile Payment
P100409,3/8/2025,Other,Colombo - Ratnapura,9:00,22,370,8140,Saturday,Cash
P103746,8/20/2025,Bus,Colombo - Kalutara,19:00,43,190,8170,Wednesday,Cash
P101245,10/8/2025,Train,Colombo - Kandy,18:30,153,350,53550,Wednesday,Card
P102288,2/26/2025,Bus,Colombo - Kandy,8:30,65,470,30550,Wednesday,Cash
P101355,9/3/2025,Bus,Colombo - Kandy,20:00,30,460,13800,Wednesday,Cash
P102858,6/21/2025,Bus,Colombo - Galle,14:00,49,400,19600,Saturday,Card
P100894,2/3/2025,Bus,Colombo - Kurunegala,18:00,49,380,18620,Monday,Card
P101182,4/28/2025,Bus,Colombo - Ratnapura,13:00,61,300,18300,Monday,Card
P104656,3/1/2025,Bus,Colombo - Kalutara,6:30,44,160,7040,Saturday,Cash
P105323,3/18/2025,Bus,Colombo - Kandy,9:00,26,480,12480,Tuesday,Card
P103699,10/22/2025,Other,Kandy - Nuwara Eliya,11:00,21,390,8190,Wednesday,Mobile Payment
P104467,9/29/2025,Bus,Colombo - Kandy,7:30,61,480,29280,Monday,Card
P104326,6/10/2025,Other,Kandy - Nuwara Eliya,15:00,16,380,6080,Tuesday,Cash
P100731,10/18/2025,Bus,Colombo - Galle,12:00,18,410,7380,Saturday,Card
P101033,6/28/2025,Bus,Galle - Matara,19:00,57,210,11970,Saturday,Mobile Payment
P103067,4/29/2025,Bus,Colombo - Kandy,20:00,13,470,6110,Tuesday,Cash
P105659,1/17/2025,Other,Colombo - Kalutara,8:30,34,220,7480,Friday,Card
P104897,7/6/2025,Bus,Kandy - Colombo,6:30,67,430,28810,Sunday,Card
P100978,8/21/2025,Bus,Kandy - Nuwara Eliya,14:00,36,290,10440,Thursday,Cash
P104970,5/31/2025,Bus,Galle - Matara,6:30,64,210,13440,Saturday,Cash
P102623,1/29/2025,Bus,Kandy - Colombo,6:30,71,440,31240,Wednesday,Card
P101226,8/7/2025,Train,Kandy - Nuwara Eliya,6:30,159,220,34980,Thursday,Mobile Payment
P101210,11/12/2025,Other,Colombo - Ratnapura,15:00,20,360,7200,Wednesday,Cash
